license_plate,month,visit_count,total,cornsilk,slate_gray,navajo_white,avg_trip
GER-X-49,2020.01,2,46.0,9,6,1,23.0
TF-UD-3934,2020.01,4,94.0,5,6,9,23.5
BTF-BY-689,2020.01,6,194.5,22,15,14,32.416666666666664
LÖ-ZH-657,2020.01,10,293.5,26,27,21,29.35
AP-A-858,2020.01,5,167.0,17,14,12,33.4
GE-CZ-374,2020.01,5,151.0,9,8,15,30.2
LDK-P-4571,2020.01,5,154.0,14,14,11,30.8
OG-EG-131,2020.01,4,167.5,5,21,12,41.875
LM-GL-1241,2020.01,6,217.5,16,15,19,36.25
ABI-N-9,2020.01,2,24.0,5,0,2,12.0
PR-D-9183,2020.01,7,151.5,11,17,10,21.642857142857142
MR-PW-5475,2020.01,6,160.5,19,15,10,26.75
KF-D-95,2020.01,5,233.0,8,8,27,46.6
LM-QT-719,2020.01,4,130.5,11,15,8,32.625
OE-C-868,2020.01,4,112.5,9,7,10,28.125
DU-DP-8,2020.01,6,228.5,25,21,15,38.083333333333336
WT-JM-352,2020.01,8,249.5,11,19,23,31.1875
EA-K-3,2020.01,6,172.0,9,8,18,28.666666666666668
ES-OK-965,2020.01,6,138.0,13,14,9,23.0
DU-C-161,2020.01,6,219.5,17,21,16,36.583333333333336
WAK-IT-6,2020.01,12,345.5,31,23,29,28.791666666666668
AÖ-ZM-15,2020.01,7,311.0,19,18,30,44.42857142857143
PE-AP-95,2020.01,6,229.0,6,14,24,38.166666666666664
KEH-A-99,2020.01,4,114.0,8,12,8,28.5
MEI-RW-5,2020.01,5,104.5,12,7,8,20.9
OD-G-493,2020.01,6,145.0,6,20,9,24.166666666666668
PF-T-3,2020.01,4,141.0,18,6,12,35.25
K-K-569,2020.01,8,193.5,25,13,14,24.1875
SAD-TZ-61,2020.01,5,162.0,11,14,13,32.4
EA-Y-926,2020.01,7,218.5,13,25,15,31.214285714285715
RS-K-423,2020.01,5,147.5,16,11,11,29.5
LIF-DV-2,2020.01,9,203.5,16,11,19,22.61111111111111
BIT-BA-78,2020.01,3,127.5,13,3,13,42.5
SZ-Q-59,2020.01,5,158.5,4,13,15,31.7
WE-PQ-4,2020.01,6,162.0,11,18,11,27.0
AIC-CN-12,2020.01,4,108.5,7,7,10,27.125
STD-HK-6546,2020.01,9,310.5,31,25,23,34.5
OHA-C-92,2020.01,4,48.5,5,7,2,12.125
MÜ-BD-756,2020.01,7,147.0,7,14,12,21.0
RT-OC-157,2020.01,7,231.0,21,18,18,33.0
AS-PG-9,2020.01,4,218.5,6,13,23,54.625
SR-GU-712,2020.01,8,210.0,14,36,8,26.25
S-V-2475,2020.01,2,47.5,1,7,3,23.75
V-D-852,2020.01,7,273.0,28,28,17,39.0
ERZ-DZ-2336,2020.01,6,160.0,10,14,13,26.666666666666668
MM-XG-2,2020.01,11,291.5,18,35,19,26.5
MKK-Z-151,2020.01,3,30.5,3,1,3,10.166666666666666
TR-KG-5442,2020.01,7,185.5,7,17,16,26.5
